  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0235661,  Residual: 0.000467041 
  1 TAO,  Function value: 0.023196,  Residual: 0.000329006 
  2 TAO,  Function value: 0.0224499,  Residual: 0.000199803 
  3 TAO,  Function value: 0.0215905,  Residual: 0.000125104 
  4 TAO,  Function value: 0.0206389,  Residual: 7.54203e-05 
  5 TAO,  Function value: 0.0198537,  Residual: 5.64842e-05 
  6 TAO,  Function value: 0.0189934,  Residual: 6.83341e-05 
  7 TAO,  Function value: 0.0187489,  Residual: 0.000124267 
  8 TAO,  Function value: 0.0184191,  Residual: 6.05973e-05 
  9 TAO,  Function value: 0.0182384,  Residual: 4.32159e-05 
 10 TAO,  Function value: 0.0180361,  Residual: 3.82725e-05 
 11 TAO,  Function value: 0.0179371,  Residual: 3.27684e-05 
 12 TAO,  Function value: 0.0178832,  Residual: 3.30343e-05 
 13 TAO,  Function value: 0.017794,  Residual: 2.75825e-05 
 14 TAO,  Function value: 0.0176903,  Residual: 2.95391e-05 
 15 TAO,  Function value: 0.0176266,  Residual: 2.10858e-05 
 16 TAO,  Function value: 0.0176029,  Residual: 2.07453e-05 
 17 TAO,  Function value: 0.0175617,  Residual: 1.86211e-05 
 18 TAO,  Function value: 0.0175022,  Residual: 2.07753e-05 
 19 TAO,  Function value: 0.0174713,  Residual: 2.26362e-05 
 20 TAO,  Function value: 0.0174528,  Residual: 2.00881e-05 
 21 TAO,  Function value: 0.0174493,  Residual: 1.85429e-05 
 22 TAO,  Function value: 0.0174386,  Residual: 1.73206e-05 
 23 TAO,  Function value: 0.0174167,  Residual: 1.51132e-05 
 24 TAO,  Function value: 0.0173981,  Residual: 1.23907e-05 
 25 TAO,  Function value: 0.0173848,  Residual: 1.15073e-05 
 26 TAO,  Function value: 0.0173806,  Residual: 9.86965e-06 
 27 TAO,  Function value: 0.0173732,  Residual: 8.61528e-06 
 28 TAO,  Function value: 0.0173634,  Residual: 7.62289e-06 
 29 TAO,  Function value: 0.017354,  Residual: 7.18812e-06 
 30 TAO,  Function value: 0.0173481,  Residual: 5.55969e-06 
 31 TAO,  Function value: 0.0173456,  Residual: 6.43577e-06 
 32 TAO,  Function value: 0.017342,  Residual: 5.88363e-06 
 33 TAO,  Function value: 0.0173384,  Residual: 5.69989e-06 
 34 TAO,  Function value: 0.017332,  Residual: 5.75992e-06 
 35 TAO,  Function value: 0.0173278,  Residual: 6.85103e-06 
 36 TAO,  Function value: 0.0173264,  Residual: 6.64171e-06 
 37 TAO,  Function value: 0.0173244,  Residual: 6.15022e-06 
 38 TAO,  Function value: 0.0173192,  Residual: 6.33842e-06 
 39 TAO,  Function value: 0.0173116,  Residual: 1.01007e-05 
 40 TAO,  Function value: 0.0173068,  Residual: 1.00374e-05 
 41 TAO,  Function value: 0.0173056,  Residual: 9.74093e-06 
 42 TAO,  Function value: 0.0173021,  Residual: 8.5406e-06 
 43 TAO,  Function value: 0.0173,  Residual: 8.50247e-06 
 44 TAO,  Function value: 0.0172961,  Residual: 7.75941e-06 
 45 TAO,  Function value: 0.0172882,  Residual: 4.67252e-06 
 46 TAO,  Function value: 0.0172825,  Residual: 3.66824e-06 
 47 TAO,  Function value: 0.0172801,  Residual: 4.37098e-06 
 48 TAO,  Function value: 0.0172782,  Residual: 2.86229e-06 
 49 TAO,  Function value: 0.017277,  Residual: 2.62766e-06 
 50 TAO,  Function value: 0.0172755,  Residual: 2.59168e-06 
 51 TAO,  Function value: 0.017274,  Residual: 3.29423e-06 
 52 TAO,  Function value: 0.0172725,  Residual: 2.54026e-06 
 53 TAO,  Function value: 0.0172714,  Residual: 2.13741e-06 
 54 TAO,  Function value: 0.0172703,  Residual: 2.32684e-06 
 55 TAO,  Function value: 0.0172696,  Residual: 2.76279e-06 
 56 TAO,  Function value: 0.0172693,  Residual: 2.21915e-06 
 57 TAO,  Function value: 0.0172688,  Residual: 1.70325e-06 
 58 TAO,  Function value: 0.0172677,  Residual: 1.97802e-06 
 59 TAO,  Function value: 0.017267,  Residual: 2.36725e-06 
 60 TAO,  Function value: 0.0172663,  Residual: 2.26647e-06 
 61 TAO,  Function value: 0.0172656,  Residual: 2.19943e-06 
 62 TAO,  Function value: 0.017265,  Residual: 2.30557e-06 
 63 TAO,  Function value: 0.0172648,  Residual: 3.25069e-06 
 64 TAO,  Function value: 0.0172648,  Residual: 3.15395e-06 
 65 TAO,  Function value: 0.0172647,  Residual: 3.04629e-06 
 66 TAO,  Function value: 0.0172645,  Residual: 8.01839e-05 
 67 TAO,  Function value: 0.0172643,  Residual: 7.44349e-06 
 68 TAO,  Function value: 0.0172639,  Residual: 8.00039e-05 
 69 TAO,  Function value: 0.0172636,  Residual: 7.9884e-05 
 70 TAO,  Function value: 0.0172634,  Residual: 8.14181e-06 
 71 TAO,  Function value: 0.0172634,  Residual: 6.82331e-06 
 72 TAO,  Function value: 0.0172634,  Residual: 7.86568e-06 
 73 TAO,  Function value: 0.0172633,  Residual: 5.97069e-06 
 74 TAO,  Function value: 0.0172633,  Residual: 5.11552e-06 
 75 TAO,  Function value: 0.0172633,  Residual: 7.99302e-05 
 76 TAO,  Function value: 0.0172631,  Residual: 7.98645e-05 
 77 TAO,  Function value: 0.0172631,  Residual: 3.55323e-06 
 78 TAO,  Function value: 0.0172631,  Residual: 2.68695e-05 
 79 TAO,  Function value: 0.017263,  Residual: 4.24986e-05 
 80 TAO,  Function value: 0.0172629,  Residual: 7.18978e-05 
 81 TAO,  Function value: 0.0172629,  Residual: 7.18913e-05 
 82 TAO,  Function value: 0.0172629,  Residual: 4.34251e-05 
 83 TAO,  Function value: 0.0172628,  Residual: 2.35457e-05 
 84 TAO,  Function value: 0.0172626,  Residual: 2.68021e-05 
 85 TAO,  Function value: 0.0172626,  Residual: 1.95374e-05 
 86 TAO,  Function value: 0.0172626,  Residual: 7.55134e-05 
 87 TAO,  Function value: 0.0172626,  Residual: 4.62035e-06 
 88 TAO,  Function value: 0.0172626,  Residual: 3.63265e-06 
 89 TAO,  Function value: 0.0172626,  Residual: 3.46154e-06 
 90 TAO,  Function value: 0.0172626,  Residual: 7.99742e-05 
 91 TAO,  Function value: 0.0172624,  Residual: 8.0005e-05 
 92 TAO,  Function value: 0.0172624,  Residual: 8.00001e-05 
 93 TAO,  Function value: 0.0172623,  Residual: 1.39081e-06 
 94 TAO,  Function value: 0.0172623,  Residual: 5.07765e-05 
 95 TAO,  Function value: 0.0172623,  Residual: 1.45422e-06 
 96 TAO,  Function value: 0.0172623,  Residual: 6.18795e-05 
 97 TAO,  Function value: 0.0172623,  Residual: 6.18754e-05 
 98 TAO,  Function value: 0.0172622,  Residual: 6.18749e-05 
 99 TAO,  Function value: 0.0172622,  Residual: 6.1874e-05 
100 TAO,  Function value: 0.0172622,  Residual: 9.0977e-07 
101 TAO,  Function value: 0.0172621,  Residual: 5.07772e-05 
102 TAO,  Function value: 0.017262,  Residual: 4.70718e-05 
103 TAO,  Function value: 0.0172619,  Residual: 4.8816e-05 
104 TAO,  Function value: 0.0172617,  Residual: 4.14995e-05 
105 TAO,  Function value: 0.0172617,  Residual: 6.3824e-05 
106 TAO,  Function value: 0.0172616,  Residual: 1.18031e-05 
107 TAO,  Function value: 0.0172616,  Residual: 3.22785e-06 
108 TAO,  Function value: 0.0172616,  Residual: 3.21153e-06 
109 TAO,  Function value: 0.0172611,  Residual: 8.01477e-05 
110 TAO,  Function value: 0.0172611,  Residual: 8.01434e-05 
111 TAO,  Function value: 0.0172611,  Residual: 8.01432e-05 
112 TAO,  Function value: 0.0172611,  Residual: 8.01452e-05 
113 TAO,  Function value: 0.0172611,  Residual: 8.01455e-05 
114 TAO,  Function value: 0.017261,  Residual: 8.62579e-07 
115 TAO,  Function value: 0.017261,  Residual: 8.01702e-05 
116 TAO,  Function value: 0.0172609,  Residual: 8.00926e-05 
117 TAO,  Function value: 0.0172608,  Residual: 7.96991e-05 
118 TAO,  Function value: 0.0172607,  Residual: 6.51594e-05 
119 TAO,  Function value: 0.0172605,  Residual: 4.66551e-05 
120 TAO,  Function value: 0.0172601,  Residual: 4.6217e-05 
121 TAO,  Function value: 0.0172601,  Residual: 7.44319e-06 
122 TAO,  Function value: 0.01726,  Residual: 3.08621e-06 
123 TAO,  Function value: 0.0172598,  Residual: 1.52662e-05 
124 TAO,  Function value: 0.0172597,  Residual: 8.12422e-06 
125 TAO,  Function value: 0.0172592,  Residual: 4.63927e-05 
126 TAO,  Function value: 0.0172587,  Residual: 4.59858e-05 
127 TAO,  Function value: 0.0172582,  Residual: 7.57415e-06 
128 TAO,  Function value: 0.0172582,  Residual: 7.75298e-06 
129 TAO,  Function value: 0.0172574,  Residual: 7.52649e-06 
130 TAO,  Function value: 0.0172568,  Residual: 3.01592e-06 
131 TAO,  Function value: 0.0172565,  Residual: 3.21234e-06 
132 TAO,  Function value: 0.0172562,  Residual: 3.10876e-06 
133 TAO,  Function value: 0.0172559,  Residual: 3.1977e-06 
134 TAO,  Function value: 0.0172555,  Residual: 3.42539e-06 
135 TAO,  Function value: 0.0172551,  Residual: 4.0478e-06 
136 TAO,  Function value: 0.0172547,  Residual: 3.90463e-06 
137 TAO,  Function value: 0.0172545,  Residual: 3.91995e-06 
138 TAO,  Function value: 0.0172541,  Residual: 3.98617e-06 
139 TAO,  Function value: 0.0172538,  Residual: 4.39322e-06 
140 TAO,  Function value: 0.0172535,  Residual: 4.06334e-06 
141 TAO,  Function value: 0.0172532,  Residual: 3.8193e-06 
142 TAO,  Function value: 0.0172526,  Residual: 3.29452e-06 
143 TAO,  Function value: 0.0172523,  Residual: 3.19564e-06 
144 TAO,  Function value: 0.017252,  Residual: 2.53321e-06 
145 TAO,  Function value: 0.0172518,  Residual: 2.30718e-06 
146 TAO,  Function value: 0.0172517,  Residual: 2.13774e-06 
147 TAO,  Function value: 0.0172515,  Residual: 2.28683e-06 
148 TAO,  Function value: 0.0172514,  Residual: 1.78304e-06 
149 TAO,  Function value: 0.0172512,  Residual: 1.6523e-06 
150 TAO,  Function value: 0.0172512,  Residual: 1.58579e-06 
151 TAO,  Function value: 0.0172511,  Residual: 1.95235e-06 
152 TAO,  Function value: 0.017251,  Residual: 1.5156e-06 
153 TAO,  Function value: 0.0172509,  Residual: 1.44945e-06 
154 TAO,  Function value: 0.0172509,  Residual: 1.41636e-06 
155 TAO,  Function value: 0.0172508,  Residual: 1.53643e-06 
156 TAO,  Function value: 0.0172507,  Residual: 1.43246e-06 
157 TAO,  Function value: 0.0172506,  Residual: 1.39464e-06 
158 TAO,  Function value: 0.0172506,  Residual: 1.41482e-06 
159 TAO,  Function value: 0.0172505,  Residual: 1.56291e-06 
160 TAO,  Function value: 0.0172504,  Residual: 1.39835e-06 
161 TAO,  Function value: 0.0172503,  Residual: 1.35427e-06 
162 TAO,  Function value: 0.0172503,  Residual: 1.39545e-06 
163 TAO,  Function value: 0.0172503,  Residual: 1.87607e-06 
164 TAO,  Function value: 0.0172502,  Residual: 1.47207e-06 
165 TAO,  Function value: 0.0172501,  Residual: 1.41278e-06 
166 TAO,  Function value: 0.0172501,  Residual: 1.33999e-06 
167 TAO,  Function value: 0.0172501,  Residual: 1.52799e-06 
168 TAO,  Function value: 0.01725,  Residual: 1.28206e-06 
169 TAO,  Function value: 0.01725,  Residual: 1.25359e-06 
170 TAO,  Function value: 0.0172499,  Residual: 1.26178e-06 
171 TAO,  Function value: 0.0172499,  Residual: 1.32187e-06 
172 TAO,  Function value: 0.0172499,  Residual: 1.37818e-06 
173 TAO,  Function value: 0.0172498,  Residual: 1.28614e-06 
174 TAO,  Function value: 0.0172498,  Residual: 1.23664e-06 
175 TAO,  Function value: 0.0172498,  Residual: 1.25429e-06 
176 TAO,  Function value: 0.0172497,  Residual: 1.23211e-06 
177 TAO,  Function value: 0.0172497,  Residual: 1.23354e-06 
178 TAO,  Function value: 0.0172496,  Residual: 1.31352e-06 
179 TAO,  Function value: 0.0172496,  Residual: 1.32304e-06 
180 TAO,  Function value: 0.0172495,  Residual: 1.25458e-06 
181 TAO,  Function value: 0.0172495,  Residual: 1.27102e-06 
182 TAO,  Function value: 0.0172495,  Residual: 1.34487e-06 
183 TAO,  Function value: 0.0172494,  Residual: 1.20753e-06 
184 TAO,  Function value: 0.0172494,  Residual: 1.15813e-06 
185 TAO,  Function value: 0.0172494,  Residual: 1.17439e-06 
186 TAO,  Function value: 0.0172493,  Residual: 1.28278e-06 
187 TAO,  Function value: 0.0172493,  Residual: 1.43799e-06 
188 TAO,  Function value: 0.0172492,  Residual: 1.23602e-06 
189 TAO,  Function value: 0.0172492,  Residual: 1.18646e-06 
190 TAO,  Function value: 0.0172492,  Residual: 1.18423e-06 
191 TAO,  Function value: 0.0172491,  Residual: 1.31127e-06 
192 TAO,  Function value: 0.0172491,  Residual: 1.24984e-06 
193 TAO,  Function value: 0.0172491,  Residual: 1.20414e-06 
194 TAO,  Function value: 0.0172491,  Residual: 1.20058e-06 
195 TAO,  Function value: 0.017249,  Residual: 1.22568e-06 
196 TAO,  Function value: 0.017249,  Residual: 1.23936e-06 
197 TAO,  Function value: 0.017249,  Residual: 1.24533e-06 
198 TAO,  Function value: 0.017249,  Residual: 1.31372e-06 
199 TAO,  Function value: 0.0172489,  Residual: 1.30576e-06 
200 TAO,  Function value: 0.0172489,  Residual: 1.29062e-06 
201 TAO,  Function value: 0.0172489,  Residual: 1.35693e-06 
202 TAO,  Function value: 0.0172489,  Residual: 1.68462e-06 
203 TAO,  Function value: 0.0172488,  Residual: 1.51565e-06 
204 TAO,  Function value: 0.0172488,  Residual: 1.4659e-06 
205 TAO,  Function value: 0.0172488,  Residual: 1.41184e-06 
206 TAO,  Function value: 0.0172487,  Residual: 1.44684e-06 
207 TAO,  Function value: 0.0172487,  Residual: 1.33749e-06 
208 TAO,  Function value: 0.0172487,  Residual: 1.29807e-06 
209 TAO,  Function value: 0.0172486,  Residual: 1.30413e-06 
210 TAO,  Function value: 0.0172486,  Residual: 1.41284e-06 
211 TAO,  Function value: 0.0172486,  Residual: 1.35627e-06 
212 TAO,  Function value: 0.0172485,  Residual: 1.31266e-06 
213 TAO,  Function value: 0.0172485,  Residual: 1.30343e-06 
214 TAO,  Function value: 0.0172485,  Residual: 1.60465e-06 
215 TAO,  Function value: 0.0172484,  Residual: 1.30991e-06 
216 TAO,  Function value: 0.0172484,  Residual: 1.27759e-06 
217 TAO,  Function value: 0.0172484,  Residual: 1.28116e-06 
218 TAO,  Function value: 0.0172484,  Residual: 1.30121e-06 
