  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0314046,  Residual: 0.000492618 
  1 TAO,  Function value: 0.0309879,  Residual: 0.000357748 
  2 TAO,  Function value: 0.0300477,  Residual: 0.000231051 
  3 TAO,  Function value: 0.0288721,  Residual: 0.000169804 
  4 TAO,  Function value: 0.0273108,  Residual: 0.000173102 
  5 TAO,  Function value: 0.0260969,  Residual: 0.000247465 
  6 TAO,  Function value: 0.0253511,  Residual: 0.000144429 
  7 TAO,  Function value: 0.0248471,  Residual: 0.000130131 
  8 TAO,  Function value: 0.0242283,  Residual: 0.000157349 
  9 TAO,  Function value: 0.0239106,  Residual: 0.000202487 
 10 TAO,  Function value: 0.0235618,  Residual: 0.000133791 
 11 TAO,  Function value: 0.0234436,  Residual: 9.16045e-05 
 12 TAO,  Function value: 0.0233729,  Residual: 8.73386e-05 
 13 TAO,  Function value: 0.0231946,  Residual: 7.83057e-05 
 14 TAO,  Function value: 0.023024,  Residual: 9.5864e-05 
 15 TAO,  Function value: 0.022915,  Residual: 6.6191e-05 
 16 TAO,  Function value: 0.0228559,  Residual: 5.0996e-05 
 17 TAO,  Function value: 0.0227349,  Residual: 5.69016e-05 
 18 TAO,  Function value: 0.022652,  Residual: 6.54741e-05 
 19 TAO,  Function value: 0.0226069,  Residual: 7.69304e-05 
 20 TAO,  Function value: 0.0225592,  Residual: 4.99232e-05 
 21 TAO,  Function value: 0.022531,  Residual: 5.25095e-05 
 22 TAO,  Function value: 0.0224641,  Residual: 5.73239e-05 
 23 TAO,  Function value: 0.0223935,  Residual: 6.96934e-05 
 24 TAO,  Function value: 0.0223641,  Residual: 6.87732e-05 
 25 TAO,  Function value: 0.0223278,  Residual: 3.93221e-05 
 26 TAO,  Function value: 0.022294,  Residual: 4.0265e-05 
 27 TAO,  Function value: 0.0222428,  Residual: 5.70562e-05 
 28 TAO,  Function value: 0.0221674,  Residual: 5.91876e-05 
 29 TAO,  Function value: 0.0221544,  Residual: 6.57125e-05 
 30 TAO,  Function value: 0.0221496,  Residual: 5.73287e-05 
 31 TAO,  Function value: 0.0221355,  Residual: 4.13053e-05 
 32 TAO,  Function value: 0.0221333,  Residual: 3.809e-05 
 33 TAO,  Function value: 0.0221312,  Residual: 3.64269e-05 
 34 TAO,  Function value: 0.0221098,  Residual: 3.17246e-05 
