  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0295384,  Residual: 0.000722062 
  1 TAO,  Function value: 0.0293045,  Residual: 0.000584618 
  2 TAO,  Function value: 0.0284404,  Residual: 0.000314393 
  3 TAO,  Function value: 0.0276809,  Residual: 0.000222488 
  4 TAO,  Function value: 0.026246,  Residual: 0.000166132 
  5 TAO,  Function value: 0.0246223,  Residual: 0.000276689 
  6 TAO,  Function value: 0.024027,  Residual: 0.000286339 
  7 TAO,  Function value: 0.023354,  Residual: 0.000134324 
  8 TAO,  Function value: 0.023051,  Residual: 0.000116779 
  9 TAO,  Function value: 0.0227617,  Residual: 9.74344e-05 
 10 TAO,  Function value: 0.0224863,  Residual: 9.65254e-05 
 11 TAO,  Function value: 0.022296,  Residual: 9.87984e-05 
 12 TAO,  Function value: 0.0221375,  Residual: 8.06505e-05 
 13 TAO,  Function value: 0.0220084,  Residual: 9.73644e-05 
 14 TAO,  Function value: 0.0218677,  Residual: 9.63352e-05 
 15 TAO,  Function value: 0.0217405,  Residual: 8.82269e-05 
 16 TAO,  Function value: 0.0216723,  Residual: 8.59445e-05 
 17 TAO,  Function value: 0.0215833,  Residual: 7.27609e-05 
 18 TAO,  Function value: 0.0215208,  Residual: 8.37297e-05 
 19 TAO,  Function value: 0.0214516,  Residual: 7.12445e-05 
 20 TAO,  Function value: 0.0213803,  Residual: 6.45533e-05 
 21 TAO,  Function value: 0.0212608,  Residual: 6.66636e-05 
 22 TAO,  Function value: 0.0211283,  Residual: 5.44317e-05 
 23 TAO,  Function value: 0.0210049,  Residual: 4.66363e-05 
 24 TAO,  Function value: 0.0209454,  Residual: 4.15415e-05 
 25 TAO,  Function value: 0.0209172,  Residual: 3.56054e-05 
 26 TAO,  Function value: 0.0208908,  Residual: 3.12832e-05 
 27 TAO,  Function value: 0.0208629,  Residual: 3.19639e-05 
 28 TAO,  Function value: 0.0208324,  Residual: 2.20289e-05 
 29 TAO,  Function value: 0.0208093,  Residual: 1.69086e-05 
 30 TAO,  Function value: 0.0207886,  Residual: 1.41811e-05 
 31 TAO,  Function value: 0.0207793,  Residual: 1.23736e-05 
 32 TAO,  Function value: 0.0207753,  Residual: 1.4215e-05 
 33 TAO,  Function value: 0.0207709,  Residual: 8.16263e-06 
 34 TAO,  Function value: 0.0207667,  Residual: 8.35388e-06 
 35 TAO,  Function value: 0.0207617,  Residual: 8.26473e-06 
 36 TAO,  Function value: 0.020757,  Residual: 9.67073e-06 
 37 TAO,  Function value: 0.0207526,  Residual: 7.82203e-06 
 38 TAO,  Function value: 0.0207493,  Residual: 5.92231e-06 
 39 TAO,  Function value: 0.0207478,  Residual: 5.57313e-06 
 40 TAO,  Function value: 0.0207461,  Residual: 4.20248e-06 
 41 TAO,  Function value: 0.020745,  Residual: 5.13448e-06 
 42 TAO,  Function value: 0.0207436,  Residual: 4.53483e-06 
 43 TAO,  Function value: 0.0207425,  Residual: 4.7543e-06 
 44 TAO,  Function value: 0.0207423,  Residual: 5.05447e-06 
 45 TAO,  Function value: 0.0207415,  Residual: 5.11303e-06 
 46 TAO,  Function value: 0.0207408,  Residual: 5.9099e-06 
 47 TAO,  Function value: 0.0207396,  Residual: 5.55323e-06 
 48 TAO,  Function value: 0.0207395,  Residual: 5.58142e-06 
 49 TAO,  Function value: 0.0207395,  Residual: 5.49638e-06 
 50 TAO,  Function value: 0.0207387,  Residual: 4.94949e-06 
 51 TAO,  Function value: 0.0207375,  Residual: 6.93749e-06 
 52 TAO,  Function value: 0.020736,  Residual: 4.97072e-06 
 53 TAO,  Function value: 0.0207342,  Residual: 4.51348e-06 
 54 TAO,  Function value: 0.020733,  Residual: 5.33564e-06 
 55 TAO,  Function value: 0.0207328,  Residual: 5.83713e-06 
 56 TAO,  Function value: 0.0207319,  Residual: 4.178e-06 
 57 TAO,  Function value: 0.0207317,  Residual: 0.000223622 
 58 TAO,  Function value: 0.0207312,  Residual: 5.74161e-06 
 59 TAO,  Function value: 0.0207311,  Residual: 4.57505e-06 
 60 TAO,  Function value: 0.0207311,  Residual: 4.53628e-06 
 61 TAO,  Function value: 0.0207304,  Residual: 0.000223513 
 62 TAO,  Function value: 0.0207302,  Residual: 0.00022348 
 63 TAO,  Function value: 0.02073,  Residual: 0.000223417 
 64 TAO,  Function value: 0.0207294,  Residual: 0.000223198 
 65 TAO,  Function value: 0.0207288,  Residual: 0.000223087 
 66 TAO,  Function value: 0.0207281,  Residual: 2.10773e-05 
 67 TAO,  Function value: 0.0207274,  Residual: 6.445e-06 
 68 TAO,  Function value: 0.0207271,  Residual: 3.40041e-06 
 69 TAO,  Function value: 0.0207269,  Residual: 2.65718e-06 
 70 TAO,  Function value: 0.0207267,  Residual: 2.94924e-06 
 71 TAO,  Function value: 0.0207266,  Residual: 2.80202e-06 
 72 TAO,  Function value: 0.0207265,  Residual: 2.9762e-06 
 73 TAO,  Function value: 0.0207264,  Residual: 3.14106e-06 
 74 TAO,  Function value: 0.0207262,  Residual: 3.91324e-06 
 75 TAO,  Function value: 0.0207261,  Residual: 4.02918e-06 
 76 TAO,  Function value: 0.0207261,  Residual: 4.09894e-06 
