  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0296621,  Residual: 0.000503727 
  1 TAO,  Function value: 0.0295411,  Residual: 0.000457142 
  2 TAO,  Function value: 0.0285975,  Residual: 0.000216582 
  3 TAO,  Function value: 0.0279697,  Residual: 0.000157828 
  4 TAO,  Function value: 0.0266634,  Residual: 0.000113078 
  5 TAO,  Function value: 0.0250971,  Residual: 0.000109194 
  6 TAO,  Function value: 0.0241798,  Residual: 0.000121542 
  7 TAO,  Function value: 0.0240783,  Residual: 0.000330859 
  8 TAO,  Function value: 0.0232709,  Residual: 9.75439e-05 
  9 TAO,  Function value: 0.0230909,  Residual: 7.45904e-05 
 10 TAO,  Function value: 0.0228478,  Residual: 9.84827e-05 
 11 TAO,  Function value: 0.0226162,  Residual: 7.56523e-05 
 12 TAO,  Function value: 0.0224347,  Residual: 6.24979e-05 
 13 TAO,  Function value: 0.0222525,  Residual: 7.77422e-05 
 14 TAO,  Function value: 0.0220788,  Residual: 5.58168e-05 
 15 TAO,  Function value: 0.0219312,  Residual: 5.13472e-05 
 16 TAO,  Function value: 0.0217493,  Residual: 5.51279e-05 
 17 TAO,  Function value: 0.0216507,  Residual: 6.13547e-05 
 18 TAO,  Function value: 0.0215825,  Residual: 5.22481e-05 
 19 TAO,  Function value: 0.0215082,  Residual: 5.0656e-05 
 20 TAO,  Function value: 0.0214014,  Residual: 4.74475e-05 
 21 TAO,  Function value: 0.0212724,  Residual: 4.62141e-05 
 22 TAO,  Function value: 0.0211768,  Residual: 4.0309e-05 
 23 TAO,  Function value: 0.0211014,  Residual: 3.69043e-05 
 24 TAO,  Function value: 0.0210297,  Residual: 3.46591e-05 
 25 TAO,  Function value: 0.0209241,  Residual: 3.07379e-05 
 26 TAO,  Function value: 0.0208681,  Residual: 3.52734e-05 
 27 TAO,  Function value: 0.0208391,  Residual: 2.56235e-05 
 28 TAO,  Function value: 0.0208202,  Residual: 2.28799e-05 
 29 TAO,  Function value: 0.0207924,  Residual: 2.02424e-05 
 30 TAO,  Function value: 0.0207615,  Residual: 1.92521e-05 
 31 TAO,  Function value: 0.020738,  Residual: 1.38882e-05 
 32 TAO,  Function value: 0.0207184,  Residual: 9.88565e-06 
 33 TAO,  Function value: 0.020699,  Residual: 9.36561e-06 
 34 TAO,  Function value: 0.0206892,  Residual: 1.06704e-05 
 35 TAO,  Function value: 0.0206823,  Residual: 6.89709e-06 
 36 TAO,  Function value: 0.0206771,  Residual: 5.2174e-06 
 37 TAO,  Function value: 0.0206727,  Residual: 4.42857e-06 
 38 TAO,  Function value: 0.0206697,  Residual: 5.6582e-06 
 39 TAO,  Function value: 0.0206676,  Residual: 3.93871e-06 
 40 TAO,  Function value: 0.0206657,  Residual: 3.65455e-06 
 41 TAO,  Function value: 0.0206628,  Residual: 5.40795e-06 
 42 TAO,  Function value: 0.02066,  Residual: 5.41214e-06 
 43 TAO,  Function value: 0.0206578,  Residual: 6.09929e-06 
 44 TAO,  Function value: 0.0206547,  Residual: 7.13763e-06 
 45 TAO,  Function value: 0.0206505,  Residual: 1.40181e-05 
 46 TAO,  Function value: 0.0206487,  Residual: 1.61309e-05 
