  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0306481,  Residual: 0.00184 
  1 TAO,  Function value: 0.0303379,  Residual: 0.00154822 
  2 TAO,  Function value: 0.029235,  Residual: 0.00051563 
  3 TAO,  Function value: 0.0288954,  Residual: 0.000399633 
  4 TAO,  Function value: 0.0277982,  Residual: 0.000282054 
  5 TAO,  Function value: 0.0261172,  Residual: 0.000248966 
  6 TAO,  Function value: 0.0247864,  Residual: 0.00029001 
  7 TAO,  Function value: 0.0242761,  Residual: 0.00028929 
  8 TAO,  Function value: 0.0238254,  Residual: 0.000301016 
  9 TAO,  Function value: 0.0233891,  Residual: 0.000185077 
 10 TAO,  Function value: 0.0231068,  Residual: 0.000142487 
 11 TAO,  Function value: 0.0228798,  Residual: 0.000174684 
 12 TAO,  Function value: 0.022642,  Residual: 0.000131952 
 13 TAO,  Function value: 0.0225281,  Residual: 0.00013677 
 14 TAO,  Function value: 0.0223483,  Residual: 0.000109579 
 15 TAO,  Function value: 0.0221891,  Residual: 0.000155815 
 16 TAO,  Function value: 0.0220586,  Residual: 0.000110514 
 17 TAO,  Function value: 0.0219446,  Residual: 9.9543e-05 
 18 TAO,  Function value: 0.0217963,  Residual: 9.90631e-05 
 19 TAO,  Function value: 0.0216526,  Residual: 9.45625e-05 
 20 TAO,  Function value: 0.0215566,  Residual: 9.91893e-05 
 21 TAO,  Function value: 0.0214549,  Residual: 8.57055e-05 
 22 TAO,  Function value: 0.0214005,  Residual: 7.22083e-05 
 23 TAO,  Function value: 0.0213783,  Residual: 7.38674e-05 
 24 TAO,  Function value: 0.021279,  Residual: 5.96307e-05 
 25 TAO,  Function value: 0.0211892,  Residual: 5.00362e-05 
 26 TAO,  Function value: 0.0211551,  Residual: 5.21026e-05 
 27 TAO,  Function value: 0.0211184,  Residual: 3.32044e-05 
 28 TAO,  Function value: 0.0210976,  Residual: 3.16436e-05 
 29 TAO,  Function value: 0.0210676,  Residual: 2.73277e-05 
 30 TAO,  Function value: 0.0210444,  Residual: 2.84143e-05 
 31 TAO,  Function value: 0.021025,  Residual: 2.65414e-05 
 32 TAO,  Function value: 0.0210072,  Residual: 3.18065e-05 
 33 TAO,  Function value: 0.0210023,  Residual: 3.08358e-05 
 34 TAO,  Function value: 0.0209984,  Residual: 3.17781e-05 
 35 TAO,  Function value: 0.0209784,  Residual: 2.4274e-05 
 36 TAO,  Function value: 0.0209669,  Residual: 3.08911e-05 
 37 TAO,  Function value: 0.0209495,  Residual: 2.29846e-05 
 38 TAO,  Function value: 0.0209346,  Residual: 1.98131e-05 
