  Iteration information for myTAO_ solve.
  0 TAO,  Function value: 0.0306654,  Residual: 0.00155098 
  1 TAO,  Function value: 0.0304381,  Residual: 0.00138553 
  2 TAO,  Function value: 0.0291947,  Residual: 0.000419559 
  3 TAO,  Function value: 0.0288735,  Residual: 0.000327933 
  4 TAO,  Function value: 0.0277823,  Residual: 0.000232832 
  5 TAO,  Function value: 0.0262138,  Residual: 0.00021033 
  6 TAO,  Function value: 0.0257174,  Residual: 0.0011568 
  7 TAO,  Function value: 0.024692,  Residual: 0.000185572 
  8 TAO,  Function value: 0.0243232,  Residual: 0.000185072 
  9 TAO,  Function value: 0.0238431,  Residual: 0.000206293 
 10 TAO,  Function value: 0.0232927,  Residual: 0.000179496 
 11 TAO,  Function value: 0.0229401,  Residual: 0.000151008 
 12 TAO,  Function value: 0.0226784,  Residual: 9.42858e-05 
 13 TAO,  Function value: 0.0225372,  Residual: 9.43048e-05 
 14 TAO,  Function value: 0.0224395,  Residual: 0.000127063 
 15 TAO,  Function value: 0.0222682,  Residual: 9.43139e-05 
 16 TAO,  Function value: 0.022087,  Residual: 8.68421e-05 
 17 TAO,  Function value: 0.0218969,  Residual: 8.34604e-05 
 18 TAO,  Function value: 0.0217731,  Residual: 7.83335e-05 
 19 TAO,  Function value: 0.0216689,  Residual: 7.13677e-05 
 20 TAO,  Function value: 0.0215593,  Residual: 7.43748e-05 
 21 TAO,  Function value: 0.021478,  Residual: 8.29932e-05 
 22 TAO,  Function value: 0.021386,  Residual: 6.91884e-05 
 23 TAO,  Function value: 0.0213301,  Residual: 6.62346e-05 
 24 TAO,  Function value: 0.0212511,  Residual: 7.07497e-05 
 25 TAO,  Function value: 0.0211951,  Residual: 7.49825e-05 
 26 TAO,  Function value: 0.0211167,  Residual: 5.28159e-05 
 27 TAO,  Function value: 0.0210593,  Residual: 4.90633e-05 
 28 TAO,  Function value: 0.0210105,  Residual: 4.44311e-05 
 29 TAO,  Function value: 0.0209656,  Residual: 3.91446e-05 
 30 TAO,  Function value: 0.02094,  Residual: 3.52256e-05 
 31 TAO,  Function value: 0.0209083,  Residual: 2.70732e-05 
 32 TAO,  Function value: 0.0208802,  Residual: 2.29735e-05 
 33 TAO,  Function value: 0.020871,  Residual: 2.62053e-05 
 34 TAO,  Function value: 0.0208605,  Residual: 1.64655e-05 
 35 TAO,  Function value: 0.0208527,  Residual: 1.47664e-05 
 36 TAO,  Function value: 0.0208366,  Residual: 1.45107e-05 
 37 TAO,  Function value: 0.0208271,  Residual: 1.08969e-05 
 38 TAO,  Function value: 0.0208218,  Residual: 1.0573e-05 
 39 TAO,  Function value: 0.0208155,  Residual: 8.18245e-06 
 40 TAO,  Function value: 0.0208101,  Residual: 8.99439e-06 
 41 TAO,  Function value: 0.0208077,  Residual: 9.35882e-06 
 42 TAO,  Function value: 0.0208046,  Residual: 7.22111e-06 
 43 TAO,  Function value: 0.0208032,  Residual: 9.75405e-06 
 44 TAO,  Function value: 0.0208015,  Residual: 7.80497e-06 
 45 TAO,  Function value: 0.0208001,  Residual: 7.44199e-06 
 46 TAO,  Function value: 0.0207972,  Residual: 7.87776e-06 
 47 TAO,  Function value: 0.0207936,  Residual: 7.47974e-06 
 48 TAO,  Function value: 0.0207927,  Residual: 1.02332e-05 
 49 TAO,  Function value: 0.020791,  Residual: 1.12198e-05 
 50 TAO,  Function value: 0.0207892,  Residual: 9.14109e-06 
 51 TAO,  Function value: 0.0207869,  Residual: 9.88678e-06 
 52 TAO,  Function value: 0.0207826,  Residual: 6.56277e-06 
 53 TAO,  Function value: 0.0207806,  Residual: 7.23571e-06 
 54 TAO,  Function value: 0.0207777,  Residual: 5.55247e-06 
 55 TAO,  Function value: 0.0207749,  Residual: 9.62301e-06 
 56 TAO,  Function value: 0.0207741,  Residual: 1.06518e-05 
 57 TAO,  Function value: 0.0207713,  Residual: 9.24089e-06 
 58 TAO,  Function value: 0.0207698,  Residual: 9.19455e-06 
 59 TAO,  Function value: 0.0207677,  Residual: 9.59476e-06 
 60 TAO,  Function value: 0.0207677,  Residual: 9.59223e-06 
 61 TAO,  Function value: 0.0207649,  Residual: 7.32909e-06 
 62 TAO,  Function value: 0.0207621,  Residual: 5.90373e-06 
 63 TAO,  Function value: 0.0207617,  Residual: 5.98281e-06 
 64 TAO,  Function value: 0.0207605,  Residual: 5.08791e-06 
 65 TAO,  Function value: 0.020759,  Residual: 5.07881e-06 
 66 TAO,  Function value: 0.0207581,  Residual: 6.6312e-06 
 67 TAO,  Function value: 0.020758,  Residual: 6.5396e-06 
 68 TAO,  Function value: 0.0207577,  Residual: 6.14157e-06 
 69 TAO,  Function value: 0.0207555,  Residual: 0.000259119 
 70 TAO,  Function value: 0.0207554,  Residual: 7.65938e-06 
 71 TAO,  Function value: 0.0207554,  Residual: 4.51311e-06 
 72 TAO,  Function value: 0.0207553,  Residual: 0.000259047 
 73 TAO,  Function value: 0.020755,  Residual: 0.00025901 
 74 TAO,  Function value: 0.0207548,  Residual: 0.000258916 
 75 TAO,  Function value: 0.0207548,  Residual: 0.000258932 
 76 TAO,  Function value: 0.0207548,  Residual: 0.000257602 
 77 TAO,  Function value: 0.0207544,  Residual: 4.51347e-05 
